blocksize,n,cpu_swap,cpu_tot,gpu_swap,2^n,gpu_tot,gpu_delta,proc_swap,proc_tot
4,1,0,0,0.026720,0,0.231104,0.204384,Inf,Inf
4,2,0,0,0.016000,1,0.166656,0.150656,Inf,Inf
4,4,0,0,0.015136,2,0.157184,0.142048,Inf,Inf
4,8,0,0,0.015136,3,0.154304,0.139168,Inf,Inf
4,16,0,0,0.015328,4,0.153184,0.137856,Inf,Inf
4,32,0,0,0.015104,5,0.152416,0.137312,Inf,Inf
4,64,0,0,0.014528,6,0.152352,0.137824,Inf,Inf
4,128,0,0,0.015232,7,0.151872,0.13664,Inf,Inf
4,256,0,0,0.015680,8,0.153824,0.138144,Inf,Inf
4,512,0,0,0.017248,9,0.156480,0.139232,Inf,Inf
4,1024,0,0,0.019648,10,0.160800,0.141152,Inf,Inf
4,2048,0,0,0.026048,11,0.171136,0.145088,Inf,Inf
4,4096,0,0,0.039392,12,0.192640,0.153248,Inf,Inf
4,8192,0,0,0.066496,13,0.237408,0.170912,Inf,Inf
4,16384,0,0,0.123200,14,0.330976,0.207776,Inf,Inf
4,32768,0,0,0.235488,15,0.793952,0.558464,Inf,Inf
4,65536,0,0,0.460480,16,5.750496,5.290016,Inf,Inf
4,131072,0,0,0.908800,17,1.840640,0.93184,Inf,Inf
4,262144,0,1,1.960640,18,3.293632,1.332992,Inf,329.3632
4,524288,1,3,3.763616,19,5.953568,2.189952,376.3616,198.452266666667
4,1048576,3,6,7.537440,20,11.550176,4.012736,251.248,192.502933333333
4,2097152,6,10,15.129824,21,22.104416,6.974592,252.163733333333,221.04416
4,4194304,13,22,30.214945,22,43.626751,13.411806,232.422653846154,198.303413636364
4,8388608,25,42,59.756802,23,86.269539,26.512737,239.027208,205.403664285714
4,16777216,51,83,107.737984,24,160.028442,52.290458,211.250949019608,192.805351807229
4,33554432,104,169,192.220093,25,297.628571,105.408478,184.8270125,176.111580473373
